Store ID,Store Name,Division,n_weeks,Actual_Total,Predicted_Total,WAPE_pct,Bias_pct,RMSE,Q1_Bias,Q2_Bias,Q3_Bias,Q4_Bias,abs_bias,target_status,role_of_store
S01155,"Wolfridge, TX",WEST,13,4998297.0,5.136118e+06,7.08,2.76,31147.0,,,8.7,-0.7,2.76,Well-Calibrated,Defend
S00223,"Highpoint, CA",WEST,13,13917552.0,1.3534586e+07,9.54,-2.75,121364.0,,,1.2,-5.1,2.75,Well-Calibrated,Maintain
S01592,"Silvervalley, OH",NORTH,13,29403147.0,2.8595948e+07,8.17,-2.75,223732.0,,,-3.7,-2.1,2.75,Well-Calibrated,Neutral
S01519,"Blackcamp, ID",WEST,13,7606732.0,7.397795e+06,12.04,-2.75,114363.0,,,-5.9,-0.4,2.75,Well-Calibrated,Neutral
S00269,"Shadowbrook, FL",SOUTH,13,15240500.0,1.4822894e+07,8.28,-2.74,135412.0,,,-6.7,-0.3,2.74,Well-Calibrated,Growth
S00166,"Brightfield, AL",SOUTH,13,11509730.0,1.1194579e+07,5.33,-2.74,58595.0,,,0.7,-4.9,2.74,Well-Calibrated,Growth
S01713,"Silverhollow, IA",WEST,13,5200156.0,5.05784e+06,6.56,-2.74,41939.0,,,-2.0,-3.3,2.74,Well-Calibrated,Growth
S01506,"Lakecliff, KS",WEST,13,9628712.0,9.365244e+06,5.89,-2.74,61980.0,,,-1.1,-3.8,2.74,Well-Calibrated,Maintain
S00652,"Stormcourt, MO",WEST,13,12239142.0,1.1905032e+07,4.19,-2.73,48993.0,,,-2.3,-3.0,2.73,Well-Calibrated,Growth
S01233,"Wolfmont, FL",SOUTH,13,15142934.0,1.4729338e+07,9.62,-2.73,150568.0,,,-2.0,-3.2,2.73,Well-Calibrated,Growth
S00310,"Maplegrove, CA",WEST,13,16070733.0,1.5634031e+07,7.71,-2.72,143622.0,,,-1.8,-3.3,2.72,Well-Calibrated,Defend
S01356,"Wingrove, NY",NORTH,13,3472245.0,3.56679e+06,9.7,2.72,35020.0,,,-2.1,7.0,2.72,Well-Calibrated,Defend
S00791,"Silverheights, OH",NORTH,13,2073018.0,2.129321e+06,8.46,2.72,18200.0,,,0.6,4.2,2.72,Well-Calibrated,Defend
S01290,"Eaglebend, VA",NORTH,13,20206447.0,1.9657688e+07,6.15,-2.72,121481.0,,,-4.5,-1.4,2.72,Well-Calibrated,Growth
S01338,"Whitemont, AR",WEST,13,12203411.0,1.1871784e+07,7.98,-2.72,89694.0,,,2.8,-5.9,2.72,Well-Calibrated,Neutral
S01711,"Whiteridge, NC",SOUTH,13,8913754.0,8.672508e+06,6.19,-2.71,53769.0,,,-1.2,-3.7,2.71,Well-Calibrated,Growth
S01008,"Northrun, MA",NORTH,13,9784255.0,1.0049266e+07,9.63,2.71,84344.0,,,-0.2,4.9,2.71,Well-Calibrated,Defend
S00277,"Goldridge, CA",WEST,13,29604208.0,2.8806252e+07,6.12,-2.7,213698.0,,,-0.6,-3.9,2.7,Well-Calibrated,Maintain
S00330,"Wolfdale, TX",SOUTH,13,7033110.0,6.84321e+06,6.33,-2.7,53944.0,,,-0.5,-4.0,2.7,Well-Calibrated,High Growth
S01313,"Westcamp, PA",NORTH,13,6389795.0,6.217478e+06,4.18,-2.7,27520.0,,,-2.9,-2.6,2.7,Well-Calibrated,Growth
S00874,"Blackbay, FL",SOUTH,13,8536700.0,8.305934e+06,6.47,-2.7,53305.0,,,-4.3,-1.8,2.7,Well-Calibrated,High Growth
S00441,"Westfield, TN",SOUTH,13,6901020.0,7.087086e+06,8.6,2.7,60244.0,,,1.8,3.3,2.7,Well-Calibrated,High Growth
S00252,"Irondale, VA",NORTH,13,9965022.0,9.697457e+06,6.13,-2.69,60312.0,,,-2.4,-2.9,2.69,Well-Calibrated,Growth
S01682,"Lowcross, CA",WEST,13,9822464.0,9.558124e+06,5.98,-2.69,61588.0,,,-2.2,-3.0,2.69,Well-Calibrated,Neutral
S01239,"Silvercross, CT",NORTH,13,7532729.0,7.330858e+06,6.81,-2.68,59691.0,,,-4.7,-1.1,2.68,Well-Calibrated,Defend
S00775,"Pineside, NC",SOUTH,13,4681596.0,4.555956e+06,7.63,-2.68,35657.0,,,0.5,-4.7,2.68,Well-Calibrated,High Growth
S00536,"Sunbend, OH",NORTH,13,19944435.0,1.9409382e+07,9.28,-2.68,156795.0,,,-5.0,-1.0,2.68,Well-Calibrated,Maintain
S00714,"Highford, TX",SOUTH,13,18551774.0,1.805671e+07,6.14,-2.67,115284.0,,,-2.3,-2.9,2.67,Well-Calibrated,Growth
S01143,"Grayfield, WI",NORTH,13,4183703.0,4.07259e+06,5.24,-2.66,22772.0,,,-0.7,-3.9,2.66,Well-Calibrated,Neutral
S00345,"Winmere, MO",WEST,13,5683278.0,5.532316e+06,4.91,-2.66,34102.0,,,-0.9,-3.8,2.66,Well-Calibrated,Neutral
S01263,"Galwood, AL",SOUTH,13,16151761.0,1.5724677e+07,5.46,-2.64,81813.0,,,-0.3,-4.2,2.64,Well-Calibrated,Growth
S01726,"Foxharbor, PA",NORTH,13,13221729.0,1.2873008e+07,5.26,-2.64,63941.0,,,-3.6,-2.0,2.64,Well-Calibrated,Maintain
S01274,"Winwood, PA",NORTH,13,21907204.0,2.1329152e+07,5.37,-2.64,122297.0,,,-3.9,-1.7,2.64,Well-Calibrated,Neutral
S01616,"Blackdor, CA",WEST,13,3361514.0,3.449974e+06,6.95,2.63,26599.0,,,4.0,1.8,2.63,Well-Calibrated,Defend
S01348,"Pinecourt, NJ",NORTH,13,2503116.0,2.568883e+06,8.49,2.63,20145.0,,,-1.1,5.3,2.63,Well-Calibrated,Defend
S01315,"Stonegrove, NC",SOUTH,13,9234509.0,8.991929e+06,6.09,-2.63,55224.0,,,-4.7,-1.2,2.63,Well-Calibrated,Neutral
S01603,"Eastmont, TX",WEST,13,5099055.0,4.965642e+06,6.46,-2.62,35884.0,,,-5.7,-0.6,2.62,Well-Calibrated,High Growth
S01438,"Starbrook, AZ",WEST,13,13808851.0,1.34472e+07,7.4,-2.62,105334.0,,,-3.0,-2.4,2.62,Well-Calibrated,High Growth
S01323,"Copperdale, VA",NORTH,13,14546700.0,1.4165894e+07,5.31,-2.62,81236.0,,,-3.0,-2.4,2.62,Well-Calibrated,Maintain
S00779,"Mordor, TN",SOUTH,13,16810627.0,1.6370814e+07,6.09,-2.62,93142.0,,,-1.9,-3.1,2.62,Well-Calibrated,Neutral
S01141,"Royalreach, CT",NORTH,13,15995213.0,1.5576659e+07,7.69,-2.62,110295.0,,,-0.5,-4.1,2.62,Well-Calibrated,Defend
S00328,"Galisle, MT",WEST,13,7028648.0,7.21177e+06,9.33,2.61,65084.0,,,-1.4,6.0,2.61,Well-Calibrated,Growth
S00018,"Bearbrook, FL",SOUTH,13,15088045.0,1.469464e+07,6.32,-2.61,94804.0,,,0.0,-4.2,2.61,Well-Calibrated,High Growth
S00647,"Highwood, CT",NORTH,13,9700189.0,9.446739e+06,6.8,-2.61,62789.0,,,-4.0,-1.6,2.61,Well-Calibrated,Maintain
S00801,"Stormtown, DE",NORTH,13,37797900.0,3.6816824e+07,4.63,-2.6,180074.0,,,-1.7,-3.2,2.6,Well-Calibrated,Neutral
S01388,"Bluecove, NY",NORTH,13,38746927.0,3.773928e+07,6.06,-2.6,207049.0,,,-3.6,-1.9,2.6,Well-Calibrated,Defend
S00059,"Winridge, FL",SOUTH,13,3844682.0,3.744592e+06,8.19,-2.6,30561.0,,,-2.5,-2.6,2.6,Well-Calibrated,High Growth
S00194,"Oakcliff, NC",SOUTH,13,3385179.0,3.472843e+06,6.59,2.59,21192.0,,,4.2,1.5,2.59,Well-Calibrated,Defend
S01001,"Stardor, IA",WEST,13,34100144.0,3.321973e+07,19.44,-2.58,796175.0,,,9.2,-9.2,2.58,Well-Calibrated,Growth
S01417,"Galhold, FL",SOUTH,13,4887555.0,4.762114e+06,4.99,-2.57,22382.0,,,-2.2,-2.8,2.57,Well-Calibrated,Growth
S01220,"Silverdale, NC",SOUTH,13,25090693.0,2.4447586e+07,6.96,-2.56,152506.0,,,-3.0,-2.3,2.56,Well-Calibrated,High Growth
S01047,"Sunview, TX",SOUTH,13,6235532.0,6.075998e+06,6.66,-2.56,38575.0,,,-2.9,-2.3,2.56,Well-Calibrated,High Growth
S00121,"Greenplains, CA",WEST,13,24866579.0,2.4229856e+07,9.34,-2.56,213498.0,,,-3.9,-1.7,2.56,Well-Calibrated,Growth
S00003,"Northdor, PA",NORTH,13,11110219.0,1.0825481e+07,6.83,-2.56,63001.0,,,-0.4,-4.0,2.56,Well-Calibrated,Defend
S00549,"Clearridge, NH",NORTH,13,15644283.0,1.6045002e+07,7.22,2.56,99006.0,,,-0.5,5.0,2.56,Well-Calibrated,Maintain
S00072,"Pinemesa, OR",WEST,13,21620307.0,2.1067942e+07,5.76,-2.55,113997.0,,,-0.4,-4.0,2.55,Well-Calibrated,Neutral
S00313,"Pinewood, SC",SOUTH,13,9697353.0,9.451027e+06,7.49,-2.54,75908.0,,,0.1,-4.2,2.54,Well-Calibrated,High Growth
S00631,"Whitevalley, SC",SOUTH,13,14306598.0,1.3943064e+07,5.9,-2.54,83465.0,,,-2.1,-2.8,2.54,Well-Calibrated,High Growth
S00422,"Royalbend, NC",SOUTH,13,12885676.0,1.255887e+07,5.96,-2.54,76890.0,,,-1.4,-3.3,2.54,Well-Calibrated,Growth
S01595,"Cedarmont, CA",WEST,13,6336198.0,6.175456e+06,8.24,-2.54,50660.0,,,-3.0,-2.2,2.54,Well-Calibrated,Neutral
S01258,"Cedarharbor, WA",WEST,13,7356971.0,7.542846e+06,5.26,2.53,41938.0,,,3.6,1.7,2.53,Well-Calibrated,Maintain
S00229,"Crystalisle, KY",SOUTH,13,2503360.0,2.566816e+06,7.5,2.53,18306.0,,,-1.9,6.3,2.53,Well-Calibrated,Maintain
S00390,"Copperharbor, UT",WEST,13,5793040.0,5.64688e+06,10.38,-2.52,51137.0,,,2.8,-5.9,2.52,Well-Calibrated,High Growth
S00839,"Sunridge, LA",SOUTH,13,17924648.0,1.7472668e+07,6.81,-2.52,107821.0,,,-0.5,-3.9,2.52,Well-Calibrated,Defend
S00588,"Bearfield, OR",WEST,13,14774128.0,1.4401975e+07,10.42,-2.52,140532.0,,,3.3,-6.0,2.52,Well-Calibrated,High Growth
S01631,"Northview, FL",SOUTH,13,16655170.0,1.6235086e+07,6.81,-2.52,106924.0,,,-2.6,-2.5,2.52,Well-Calibrated,High Growth
S00571,"Goldfield, CA",WEST,13,4356349.0,4.246694e+06,5.66,-2.52,25824.0,,,-2.6,-2.5,2.52,Well-Calibrated,Defend
S00418,"Brighthaven, PA",NORTH,13,2233691.0,2.290069e+06,6.46,2.52,13272.0,,,1.1,3.6,2.52,Well-Calibrated,Defend
S00100,"Silvercliff, IL",NORTH,13,10576442.0,1.0310345e+07,7.58,-2.52,78019.0,,,0.4,-4.4,2.52,Well-Calibrated,Defend
S00150,"Moonmesa, OH",NORTH,13,2103398.0,2.156103e+06,8.57,2.51,18474.0,,,0.9,3.7,2.51,Well-Calibrated,Maintain
S00904,"Ashkeep, VA",NORTH,13,5946402.0,5.797242e+06,6.05,-2.51,35105.0,,,-3.9,-1.5,2.51,Well-Calibrated,Maintain
S00992,"Oakridge, KY",SOUTH,13,22268217.0,2.2824052e+07,5.15,2.5,113389.0,,,4.0,1.5,2.5,Well-Calibrated,Growth
S00760,"Winstrand, NJ",NORTH,13,5168822.0,5.297866e+06,7.48,2.5,39802.0,,,1.0,3.5,2.5,Well-Calibrated,Defend
S00719,"Rivkeep, NC",SOUTH,13,13210806.0,1.2880014e+07,7.56,-2.5,96006.0,,,-1.4,-3.2,2.5,Well-Calibrated,High Growth
S01492,"Blackview, GA",SOUTH,13,4316792.0,4.42447e+06,9.52,2.49,37586.0,,,0.1,4.2,2.49,Well-Calibrated,Maintain
S00858,"Sunpoint, KY",SOUTH,13,27642694.0,2.8330572e+07,7.15,2.49,208487.0,,,1.6,3.1,2.49,Well-Calibrated,Neutral
S00187,"Royalhollow, CA",WEST,13,1797400.0,1.752563e+06,10.45,-2.49,18447.0,,,-2.9,-2.2,2.49,Well-Calibrated,High Growth
S00307,"Cedartown, WA",WEST,13,4880126.0,4.758764e+06,9.15,-2.49,39400.0,,,-4.8,-0.8,2.49,Well-Calibrated,Neutral
S01250,"Wincrest, IN",NORTH,13,8538650.0,8.326714e+06,9.82,-2.48,84085.0,,,-2.5,-2.5,2.48,Well-Calibrated,Neutral
S00711,"Whiterock, NC",SOUTH,13,17336039.0,1.690678e+07,3.22,-2.48,59183.0,,,-1.3,-3.3,2.48,Well-Calibrated,Neutral
S01272,"Oakheights, KS",WEST,13,6550985.0,6.388716e+06,4.6,-2.48,32291.0,,,-2.7,-2.3,2.48,Well-Calibrated,Maintain
S00556,"Grayharbor, PA",NORTH,13,8066799.0,7.866348e+06,5.85,-2.48,43338.0,,,-3.4,-1.8,2.48,Well-Calibrated,Neutral
S01475,"Moondor, VA",NORTH,13,6463597.0,6.303658e+06,7.36,-2.47,48873.0,,,-1.5,-3.1,2.47,Well-Calibrated,High Growth
S00031,"Copperhollow, VA",NORTH,13,12264454.0,1.1961424e+07,5.58,-2.47,68507.0,,,-3.5,-1.8,2.47,Well-Calibrated,Neutral
S00433,"Wolfhollow, MN",WEST,13,3456084.0,3.370674e+06,9.36,-2.47,36741.0,,,-0.6,-3.6,2.47,Well-Calibrated,Defend
S00280,"Foxsprings, GA",SOUTH,13,24257999.0,2.4854726e+07,6.61,2.46,155986.0,,,-0.0,4.2,2.46,Well-Calibrated,Maintain
S01277,"Ironharbor, FL",SOUTH,13,14315471.0,1.3963689e+07,4.48,-2.46,59784.0,,,-2.2,-2.6,2.46,Well-Calibrated,Neutral
S01453,"Sagewatch, NC",SOUTH,13,48822599.0,5.001813e+07,5.59,2.45,334408.0,,,0.0,4.3,2.45,Well-Calibrated,Growth
S01120,"Greenbrook, LA",SOUTH,13,34656409.0,3.380828e+07,5.74,-2.45,195281.0,,,-2.8,-2.2,2.45,Well-Calibrated,High Growth
S01144,"Brightrun, FL",SOUTH,13,24349081.0,2.4946508e+07,6.93,2.45,169029.0,,,2.9,2.2,2.45,Well-Calibrated,Growth
S01612,"Vanvalley, AZ",WEST,13,8132759.0,8.331982e+06,6.58,2.45,52422.0,,,-2.3,5.2,2.45,Well-Calibrated,Neutral
S00924,"Greenvalley, MO",WEST,13,6522393.0,6.681573e+06,5.37,2.44,36015.0,,,2.7,2.3,2.44,Well-Calibrated,Defend
S01669,"Brightcross, FL",SOUTH,13,7618769.0,7.433174e+06,6.2,-2.44,45870.0,,,-3.3,-1.9,2.44,Well-Calibrated,Maintain
S00965,"Starreach, OK",WEST,13,24872427.0,2.4265502e+07,7.01,-2.44,156429.0,,,1.0,-4.7,2.44,Well-Calibrated,Neutral
S01685,"Lowridge, AL",SOUTH,13,28510704.0,2.7816272e+07,5.4,-2.44,144458.0,,,-0.7,-3.6,2.44,Well-Calibrated,Maintain
S01245,"Stonecove, MD",NORTH,13,7772342.0,7.5838e+06,8.12,-2.43,62037.0,,,-0.5,-3.7,2.43,Well-Calibrated,Maintain
S00663,"Crystalbay, NJ",NORTH,13,5110560.0,5.234936e+06,5.39,2.43,30874.0,,,2.7,2.2,2.43,Well-Calibrated,Maintain
S01708,"Graywatch, KY",SOUTH,13,3451024.0,3.534775e+06,6.11,2.43,22309.0,,,0.3,4.1,2.43,Well-Calibrated,Maintain
S01237,"Royalhold, UT",WEST,13,5056419.0,4.933862e+06,5.76,-2.42,30051.0,,,-2.3,-2.5,2.42,Well-Calibrated,High Growth
S01555,"Stormmark, IL",WEST,13,4768146.0,4.88349e+06,5.88,2.42,34155.0,,,2.5,2.4,2.42,Well-Calibrated,Defend
S00440,"Greenheights, AL",SOUTH,13,3151320.0,3.227638e+06,6.56,2.42,19615.0,,,2.0,2.7,2.42,Well-Calibrated,Neutral
S00305,"Suncourt, CA",WEST,13,7920798.0,7.729874e+06,7.78,-2.41,69388.0,,,-1.1,-3.3,2.41,Well-Calibrated,Growth
S01070,"Oakhaven, AL",SOUTH,13,15496855.0,1.5122622e+07,6.09,-2.41,88964.0,,,3.7,-6.0,2.41,Well-Calibrated,Neutral
S00569,"Cedarbrook, MO",WEST,13,13113160.0,1.2797718e+07,5.99,-2.41,74825.0,,,-0.4,-3.6,2.41,Well-Calibrated,Growth
S00811,"Shadowcross, WA",WEST,13,4619822.0,4.731064e+06,6.78,2.41,30574.0,,,4.7,0.8,2.41,Well-Calibrated,Maintain
S01529,"Ashdor, NC",SOUTH,13,6061935.0,5.915614e+06,4.78,-2.41,32713.0,,,-1.9,-2.7,2.41,Well-Calibrated,Maintain
S01532,"Silvercourt, NJ",NORTH,13,5541307.0,5.674794e+06,6.31,2.41,31798.0,,,3.5,1.7,2.41,Well-Calibrated,Defend
S00041,"Eaglehaven, MI",NORTH,13,5669019.0,5.532362e+06,8.9,-2.41,41045.0,,,0.0,-4.0,2.41,Well-Calibrated,Defend
S00469,"Silverbay, CO",WEST,13,17469862.0,1.7051144e+07,8.0,-2.4,132783.0,,,0.9,-4.5,2.4,Well-Calibrated,Growth
S00667,"Whitekeep, CT",NORTH,13,11571031.0,1.1293295e+07,8.26,-2.4,88806.0,,,-3.8,-1.4,2.4,Well-Calibrated,Maintain
S01058,"Cedarrock, VA",NORTH,13,8977621.0,8.762362e+06,5.34,-2.4,50365.0,,,-3.6,-1.5,2.4,Well-Calibrated,Neutral
S00942,"Westharbor, OK",WEST,13,8457852.0,8.255851e+06,7.67,-2.39,71692.0,,,1.3,-4.7,2.39,Well-Calibrated,High Growth
S01221,"Ironmont, CA",WEST,13,6352280.0,6.200777e+06,14.52,-2.39,91492.0,,,-0.4,-3.6,2.39,Well-Calibrated,Defend
S01614,"Pinecliff, FL",SOUTH,13,15710793.0,1.5337373e+07,6.73,-2.38,98705.0,,,2.9,-5.7,2.38,Well-Calibrated,High Growth
S01627,"Lakeplains, HI",WEST,13,8580360.0,8.376013e+06,6.13,-2.38,56413.0,,,-4.1,-1.3,2.38,Well-Calibrated,High Growth
S01688,"Eastcourt, MD",NORTH,13,7412718.0,7.236129e+06,5.92,-2.38,47075.0,,,-1.1,-3.3,2.38,Well-Calibrated,Growth
S00391,"Eaglebay, PA",NORTH,13,3542126.0,3.62612e+06,4.71,2.37,18065.0,,,-1.0,5.0,2.37,Well-Calibrated,Maintain
S00878,"Shadowwatch, NY",NORTH,13,3846025.0,3.937201e+06,7.64,2.37,26651.0,,,0.3,4.0,2.37,Well-Calibrated,Defend
S01147,"Foxdor, IL",NORTH,13,7618011.0,7.79843e+06,8.53,2.37,66994.0,,,3.4,1.7,2.37,Well-Calibrated,Defend
S01056,"Blackside, KY",SOUTH,13,36867159.0,3.77368e+07,8.53,2.36,276370.0,,,-0.9,4.8,2.36,Well-Calibrated,Defend
S00396,"Ashmere, NC",SOUTH,13,17036313.0,1.6634373e+07,5.72,-2.36,104878.0,,,-1.1,-3.2,2.36,Well-Calibrated,High Growth
S00595,"Eaglemere, UT",WEST,13,3730366.0,3.642271e+06,8.0,-2.36,32433.0,,,-0.2,-3.8,2.36,Well-Calibrated,Growth
S00156,"Westmont, SC",SOUTH,13,5731417.0,5.596879e+06,6.95,-2.35,42836.0,,,-1.8,-2.7,2.35,Well-Calibrated,High Growth
S00263,"Brightcliff, FL",SOUTH,13,16993314.0,1.7390976e+07,6.02,2.34,105327.0,,,1.4,2.8,2.34,Well-Calibrated,Neutral
S00614,"Lakefall, NC",SOUTH,13,10624769.0,1.0376097e+07,8.02,-2.34,85613.0,,,-4.8,-0.5,2.34,Well-Calibrated,High Growth
S00374,"Galrock, AL",SOUTH,13,5742109.0,5.607524e+06,5.19,-2.34,31479.0,,,-2.7,-2.1,2.34,Well-Calibrated,Maintain
S00306,"Foxwatch, OK",WEST,13,17202553.0,1.6799726e+07,5.33,-2.34,99171.0,,,-3.5,-1.5,2.34,Well-Calibrated,Maintain
S00020,"Maplecourt, NJ",NORTH,13,9100648.0,8.887445e+06,5.48,-2.34,45942.0,,,-0.7,-3.5,2.34,Well-Calibrated,Defend
S00835,"Brightmont, NM",WEST,13,2301919.0,2.355529e+06,9.75,2.33,20391.0,,,-0.6,4.2,2.33,Well-Calibrated,Growth
S00399,"Bearrun, FL",SOUTH,13,11687254.0,1.1415242e+07,4.93,-2.33,65489.0,,,-1.4,-2.9,2.33,Well-Calibrated,Growth
S01164,"Rivreach, PA",NORTH,13,8154605.0,7.964977e+06,7.83,-2.33,58172.0,,,-2.7,-2.1,2.33,Well-Calibrated,Maintain
S00873,"Westridge, OH",NORTH,13,30016789.0,2.9318074e+07,9.69,-2.33,258568.0,,,-2.2,-2.4,2.33,Well-Calibrated,Growth
S00538,"Golddor, MI",NORTH,13,15243799.0,1.4888135e+07,7.31,-2.33,109578.0,,,-1.3,-3.0,2.33,Well-Calibrated,Neutral
S00122,"Vancamp, AR",WEST,13,16215413.0,1.5837089e+07,7.33,-2.33,104780.0,,,0.6,-4.2,2.33,Well-Calibrated,High Growth
S00682,"Ironfall, TN",SOUTH,13,15165354.0,1.481246e+07,4.87,-2.33,68865.0,,,-1.9,-2.6,2.33,Well-Calibrated,Growth
S00987,"Royalwood, CA",WEST,13,3542657.0,3.460388e+06,6.27,-2.32,24278.0,,,-1.6,-2.8,2.32,Well-Calibrated,Neutral
S00295,"Morheights, PA",NORTH,13,3858586.0,3.769252e+06,8.09,-2.32,28435.0,,,0.0,-3.8,2.32,Well-Calibrated,Growth
S00267,"Sundor, TX",SOUTH,13,32382940.0,3.1630596e+07,6.46,-2.32,192009.0,,,0.9,-4.3,2.32,Well-Calibrated,High Growth
S00765,"Ironhold, NY",NORTH,13,12633133.0,1.2340419e+07,5.99,-2.32,89060.0,,,-2.4,-2.3,2.32,Well-Calibrated,Maintain
S01046,"Oakgrove, FL",SOUTH,13,11039211.0,1.1294584e+07,8.02,2.31,90630.0,,,2.0,2.5,2.31,Well-Calibrated,Defend
S00220,"Lakedor, SC",SOUTH,13,4042784.0,3.949545e+06,6.79,-2.31,30289.0,,,-0.4,-3.5,2.31,Well-Calibrated,Neutral
S00563,"Whitedale, AZ",WEST,13,5538897.0,5.666622e+06,10.45,2.31,61493.0,,,-0.5,4.1,2.31,Well-Calibrated,Neutral
S00227,"Sungard, MS",SOUTH,13,3683418.0,3.598173e+06,7.06,-2.31,21971.0,,,0.7,-4.2,2.31,Well-Calibrated,High Growth
S01177,"Bearharbor, GA",SOUTH,13,2552403.0,2.611489e+06,7.29,2.31,18146.0,,,2.5,2.2,2.31,Well-Calibrated,High Growth
S00104,"Sageisle, NC",SOUTH,13,20456179.0,2.0929708e+07,6.27,2.31,123435.0,,,3.5,1.5,2.31,Well-Calibrated,Defend
S01213,"Royalisle, GA",SOUTH,13,28686477.0,2.8023276e+07,5.45,-2.31,138196.0,,,-0.9,-3.3,2.31,Well-Calibrated,High Growth
S00477,"Riverhold, TN",SOUTH,13,4557324.0,4.662038e+06,5.39,2.3,24793.0,,,2.3,2.3,2.3,Well-Calibrated,High Growth
S00593,"Ironford, CA",WEST,13,5230058.0,5.109864e+06,6.78,-2.3,40746.0,,,-1.6,-2.7,2.3,Well-Calibrated,Growth
S01309,"Wolfwood, TX",WEST,13,3276209.0,3.351566e+06,5.36,2.3,18517.0,,,0.7,3.4,2.3,Well-Calibrated,Growth
S01031,"Foxfall, WV",NORTH,13,7107554.0,6.943732e+06,6.99,-2.3,44558.0,,,-4.7,-0.5,2.3,Well-Calibrated,Maintain
S01394,"Stormmere, MD",NORTH,13,2583666.0,2.52456e+06,5.87,-2.29,13917.0,,,-2.7,-2.0,2.29,Well-Calibrated,High Growth
S01618,"Southmark, NC",SOUTH,13,14524456.0,1.4191831e+07,5.91,-2.29,83312.0,,,-0.2,-3.7,2.29,Well-Calibrated,High Growth
S00568,"Whitegate, GA",SOUTH,13,24188687.0,2.4741932e+07,6.49,2.29,155542.0,,,4.0,1.1,2.29,Well-Calibrated,Maintain
S00843,"Southcourt, IN",SOUTH,13,6102324.0,5.963281e+06,9.94,-2.28,66096.0,,,-4.1,-1.0,2.28,Well-Calibrated,Maintain
S01421,"Crystalbrook, CA",WEST,13,2719807.0,2.657671e+06,8.91,-2.28,26985.0,,,0.3,-3.9,2.28,Well-Calibrated,Growth
S01298,"Oakhollow, AZ",WEST,13,12925009.0,1.2630235e+07,10.88,-2.28,129405.0,,,-7.9,1.3,2.28,Well-Calibrated,Defend
S01528,"Northharbor, MO",WEST,13,5046344.0,4.931355e+06,12.01,-2.28,55379.0,,,-6.8,1.2,2.28,Well-Calibrated,Neutral
S00064,"Goldcamp, LA",SOUTH,13,36152034.0,3.5332624e+07,5.69,-2.27,179386.0,,,-0.9,-3.1,2.27,Well-Calibrated,High Growth
S00797,"Wolfmark, TX",WEST,13,10905120.0,1.0659114e+07,6.08,-2.26,66649.0,,,-3.4,-1.5,2.26,Well-Calibrated,Growth
S00118,"Lakerun, OK",WEST,13,18354118.0,1.8768716e+07,7.59,2.26,131189.0,,,-0.7,4.3,2.26,Well-Calibrated,Defend
S00653,"Southwood, FL",SOUTH,13,17921544.0,1.751797e+07,8.61,-2.25,132422.0,,,-1.7,-2.6,2.25,Well-Calibrated,High Growth
S01026,"Rivbay, CA",WEST,13,6848452.0,6.694476e+06,9.74,-2.25,72669.0,,,-2.0,-2.4,2.25,Well-Calibrated,Growth
S00899,"Shadowview, ND",WEST,13,5994458.0,5.859821e+06,12.21,-2.25,74791.0,,,-1.3,-2.9,2.25,Well-Calibrated,High Growth
S01632,"Stormcliff, MN",WEST,13,5000969.0,4.888309e+06,9.24,-2.25,43019.0,,,-1.1,-3.0,2.25,Well-Calibrated,Maintain
S00257,"Southford, IN",NORTH,13,8721813.0,8.525628e+06,6.36,-2.25,49079.0,,,-3.7,-1.2,2.25,Well-Calibrated,Maintain
S01013,"Blackmere, TX",WEST,13,20101486.0,1.965027e+07,7.64,-2.24,130885.0,,,-4.9,-0.5,2.24,Well-Calibrated,High Growth
S00651,"Riverport, CO",WEST,13,18344252.0,1.7933608e+07,7.76,-2.24,126194.0,,,1.3,-4.6,2.24,Well-Calibrated,Growth
S00183,"Southkeep, MT",WEST,13,5944938.0,5.811856e+06,9.22,-2.24,49511.0,,,1.4,-4.7,2.24,Well-Calibrated,High Growth
S01161,"Vansprings, PA",NORTH,13,12782317.0,1.2496298e+07,6.78,-2.24,82145.0,,,-4.2,-0.8,2.24,Well-Calibrated,Defend
S00092,"Lakewood, IN",NORTH,13,3360975.0,3.43577e+06,5.43,2.23,18495.0,,,3.3,1.5,2.23,Well-Calibrated,Maintain
S00268,"Ironport, FL",SOUTH,13,9306819.0,9.099106e+06,5.1,-2.23,44313.0,,,-0.7,-3.1,2.23,Well-Calibrated,High Growth
S00615,"Crystalford, PA",NORTH,13,6271395.0,6.13216e+06,4.67,-2.22,30123.0,,,-2.7,-1.9,2.22,Well-Calibrated,Neutral
S01454,"Goldcliff, LA",SOUTH,13,9427812.0,9.218909e+06,5.24,-2.22,45830.0,,,-3.3,-1.5,2.22,Well-Calibrated,Neutral
S00566,"Wolfdor, DE",NORTH,13,8932757.0,8.734777e+06,7.44,-2.22,74423.0,,,0.6,-4.0,2.22,Well-Calibrated,Defend
S00382,"Redrun, TX",WEST,13,17161437.0,1.6780514e+07,8.98,-2.22,144457.0,,,-0.9,-3.0,2.22,Well-Calibrated,Growth
S01029,"Crystaldale, OK",WEST,13,17276337.0,1.6893076e+07,7.89,-2.22,141517.0,,,-3.9,-1.0,2.22,Well-Calibrated,Growth
S00932,"Stoneview, OK",WEST,13,25809995.0,2.6383248e+07,3.95,2.22,98978.0,,,1.0,3.0,2.22,Well-Calibrated,Defend
